Ab-initio taxonomy construction,1,,Internal linking,1,,Production rules - ensemble learning,1,,,
Entity canonicalisation,1,,Knowledge graph fusion,1,,POS tagging,1,,,
"Popularity, similarity and coherence measures",1,,Type,1,,"Popularity, similarity and coherence measures",1,,,
Optimisation and learning-to-rank methods,1,,Consolidated knowledge graph,1,,POI (point of interest) mining,1,,,
Other ML methods (,1,,Entity resolution,1,,Periodic update,1,,,
Pattern-based and rule-based extraction,1,,Similarity,1,,PDF parse,1,,,
Extraction from semi structured contents,1,,Knowledge graph completion,1,,Pattern-based methods,1,,,
Neutral extraction,1,,Dictionary based matching,1,,Pattern-based and rule-based extraction,1,,,
Open Knowledge extraction for predicate discovery,1,,Boundary corrections,1,,Path tracing layout,1,,,
Seed based discovery of properties,1,,Silver standard wikipedia sentences,1,,Parsing,1,,,
Property canonicalization,1,,Hybrid corpus creation,1,,Output integration,1,,,
Knowledge base curation,1,,Chinese word segmentation,1,,Other ML methods (,1,,,
KB quality assessment,1,,Nominal Phrases (NP) association,1,,Optimisation and learning-to-rank methods,1,,,
KB completeness,1,,Order and selection,1,,Open Knowledge extraction for predicate discovery,1,,,
Rules and constraints,1,,RDF preparation,1,,Ontology system integration,1,,,
Consistent knowledge cleaning,1,,Entity normalisation,1,,Ontology modules population,1,,,
KB lifecycle,1,,Property calculation,1,,Ontology modules implementation,1,,,
Selection and cleaning,1,,Graph cleaning,1,,Ontology extraction,1,,,
Formatting,1,,Related entity ranking,1,,Ontology enriched text embedding,1,,,
Association rules extraction,1,,Graph embedding,1,,Object alignment,1,,,
Association rules visualisation,1,,Analyse formal concepts for specification groups,1,,NP tagging,1,,,
Post processing,1,,Extract specification items --> build reference vocabulary,1,,Non-taxonomic relationship extraction,1,,,
"Linking Geonames, ORCid",1,,Analyse formal concepts for specification items,1,,Neutral extraction,1,,,
Graph deployment,1,,Concept refinement,1,,nd order features - probabilities,1,,,
Knowledge graph enrichment,1,,Design a knowledge model,1,,Named entity recognition,1,,,
Relation type selection,1,,Construct a knowledge graph,1,,Motivation of the ontology,1,,,
Relation linking,1,,Data import and storage,1,,Modules identification,1,,,
Entity mapping,1,,Data modelling,1,,Modifier merge,1,,,
Sentence simplifier,1,,Event annotation,1,,Materialisation,1,,,
Triple extractor,1,,Entity annotation,1,,Mapping of KG,1,,,
Metadata processing,1,,Event interlinking,1,,Mapping,1,,,
Predicate mapping,1,,Road sign conventions and prototypes,1,,Manual editing,1,,,
POI (point of interest) mining,1,,KG construction with crowdsourcing (thus people),1,,Manual alignment,1,,,
Heuristic rules phrase mining,1,,Alignment of KG to domain specific KG (ML),1,,Live extraction,1,,,
POI classification,1,,Semantics,1,,"Linking Geonames, ORCid",1,,,
User problem mining,1,,Hypothesis ranking,1,,Lexical parser,1,,,
 Heuristic rules phrase mining,1,,Evidence mining,1,,Knowledge retrieval,1,,,
Problem classification,1,,Triples generation,1,,Knowledge linking,1,,,
CPV (category-property-value)&IPV(item-property-value) mining,1,,Encoding,1,,Knowledge fusion,1,,,
QA Pairing,1,,Entity recognition,1,,Knowledge enrichment,1,,,
Scene Classification,1,,Predicate dictionary filtering,1,,Knowledge correction,1,,,
IPV Mining,1,,Appositions + coordinating conjunctions,1,,Knowledge completion,1,,,
Polarity judgement,1,,Argument validation,1,,Knowledge cleaning,1,,,
IPV Normalization,1,,Pattern extraction,1,,Knowledge base enrichment,1,,,
IPV Filtering,1,,Temporal argument parser,1,,Knowledge base domain taxonomy,1,,,
Crowdsourcing,1,,Argument minimisation,1,,Knowledge assessment,1,,,
POI relational knowledge,1,,Fact scoring,1,,KB quality assessment,1,,,
Data sources,1,,KG,1,,KB lifecycle,1,,,
KB,1,,Display - visual layout,1,,KB completeness,1,,,
Entity relevance computation,1,,Interaction - visual display,1,,KB,1,,,
Entity construction,1,,Image processing,1,,Iterative semantic learn,1,,,
Relation construction,1,,Relation discovery,1,,Inferring implicit entity,1,,,
Identification of core knowledge points,1,,Construction of KG,1,,Individual ontology design and formalisation,1,,,
Recognition of knowledge points,1,,Semantic knowledge layer,1,,Identifying road sign templates for various countries,1,,,
Semantic similarity of knowledge points,1,,Statistical knowledge layer,1,,Hierarchical spherical embedding,1,,,
Semantic relevance of knowledge points,1,,Predictive knowledge layer,1,,Graph deployment,1,,,
Parser,1,,Knowledge modeling and representation,1,,Graph DBMS,1,,,
PDF parse,1,,Entity refining,1,,Graph database,1,,,
Lexical parser,1,,Triple refining,1,,Graph data modeling,1,,,
Hearst patterns,1,,Triple selection,1,,Graph based alignment,1,,,
Syntactic based extract,1,,Reasoning network,1,,Free text extraction,1,,,
Iterative semantic learn,1,,Triple extraction,1,,Formatting,1,,,
Modifier merge,1,,Triple filtering,1,,"Filtering - word window, syntactic patterns",1,,,
Simple merge,1,,Merging of nodes and knowledge graph population,1,,"Filtering - overlaps, voting, deduplication",1,,,
Vertical merge,1,,Data integration,1,,Fact Extraction,1,,,
Chinese text segmenting and tagging tools,1,,Knowledge reasoning,1,,Extraction from semi structured contents,1,,,
Validation settings,1,,Manual proofreading,1,,Expert experience,1,,,
Characteristic rules,1,,Data import,1,,Evolutionary linking,1,,,
Key nodes,1,,Relation visualisation,1,,Events clustering,1,,,
Semantic mapping,1,,Normalisation to RDF data,1,,Event recognition,1,,,
Viewing the graph,1,,Merging,1,,Event extraction,1,,,
Ontology requirements,1,,KG storage,1,,Event classification,1,,,
Motivation of the ontology,1,,Adapting,1,,Evaluation of quality,1,,,
Competency questions,1,,Manual editing,1,,Evaluation of competency,1,,,
Quality characteristics,1,,Query engine,1,,Error data correction,1,,,
Ontology design,1,,Knowledge creation,1,,Entity selection,1,,,
Terms elication,1,,Knowledge hosting,1,,Entity relation extraction,1,,,
Modules identification,1,,Knowledge curation,1,,Entity labelling,1,,,
Individual ontology design and formalisation,1,,Knowledge deployment,1,,Entity IRI creation,1,,,
Ontology modules implementation,1,,Ontology reuse,1,,Entity construction,1,,,
Ontology modules population,1,,Model merging,1,,Elements extraction,1,,,
Ontology system integration,1,,Schema mapping,1,,Domain/range,1,,,
Ontology evaluation,1,,Domain knowledge learning,1,,Diversity image retrieval,1,,,
Evaluation of competency,1,,Machine learning,1,,Distributed representation learning,1,,,
Evaluation of quality,1,,Human experts verifying,1,,Distributed representation,1,,,
Regular extraction,1,,Knowledge assessment,1,,Dictionary-based entity spotting,1,,,
Properties extraction,1,,Knowledge adjusting,1,,Data structured processing,1,,,
Abstract extraction,1,,Application feedback,1,,Data store,1,,,
Category extraction,1,,Knowledge evaluation,1,,Data normalisation,1,,,
Type inference,1,,Knowledge updating,1,,Data integration,1,,,
"Others (Redirects, internal links, external links, related pages)",1,,Data crawler,1,,Data features analysis,1,,,
Live extraction,1,,Knowledge extractor,1,,Data cleaning,1,,,
Stream filtering,1,,NLP module,1,,Data augmentation,1,,,
Entity label extraction,1,,Word embedding,1,,Data annotation,1,,,
Wikipedia (OE) synchronizing,1,,Data source - papers,1,,Data acquisition from relational databases,1,,,
Cross-lingual Transformation,1,,Extractors,1,,Data acquisition from documents,1,,,
Entity search,1,,Structured data,1,,Data acquisition,1,,,
Seed synchronizing,1,,Relation extraction & triple formation,1,,Crowdsourced instance annotation,1,,,
Entity expansion,1,,User interface,1,,Cross-media structured semantic representation,1,,,
Expanded entities synchronizing,1,,Data parsing framework,1,,Crawling,1,,,
Using entity labels,1,,Knowledge access management,1,,CPV (category-property-value)&IPV(item-property-value) mining,1,,,
Punctuation cleaning,1,,Storage and query,1,,Consistent knowledge cleaning,1,,,
Extending Synonyms,1,,IME entity extraction,1,,Conference resolution,1,,,
Semi-supervised entity matching,1,,Use CRF algorithm,1,,Competency questions,1,,,
Matched pairs into generator to get frequent set of property pairs,1,,The text data included relations between concepts,1,,Comparison cleaning,1,,,
Rule constructor,1,,Statistical model and NLP,1,,Clustering,1,,,
Matching rules applied for data to get matched properties,1,,To recognise significant relation for IME,1,,Classifier of sentences,1,,,
Entity collection,1,,Knowledge acquisition,1,,Characteristic rules,1,,,
Block processing,1,,"Structured, semi-structured and unstructured data",1,,Category cleaning,1,,,
Block cleaning,1,,Extraction,1,,Block cleaning,1,,,
Comparison cleaning,1,,Integration,1,,Biochemical ontology and existing databases,1,,,
Entity clustering,1,,Quality improvement,1,,Automatic annotation,1,,,
Resolved entities,1,,Update,1,,Automated reasoning,1,,,
Dump downloader ---> MediaWiki Dumps,1,,,,,Auto-transformation for individual triples,1,,,
DBpedia extraction framework---> extracted RDF,1,,,,,Attribute finding,1,,,
Internal linking,1,,,,,Attribute correction,1,,,
Knowledge graph fusion,1,,,,,Association rules visualisation,1,,,
Domain/range,1,,,,,Association rules extraction,1,,,
Subclass,1,,,,,Association rules - apriori,1,,,
Type,1,,,,,Alignment between knowledge sources,1,,,
SDType light,1,,,,,Agricultural Question answering,1,,,
Materialisation,1,,,,,Agricultural entity retrieval,1,,,
Consolidated knowledge graph,1,,,,,Active update,1,,,
Event extraction,1,,,,,Across-media interlinking,1,,,
Web Knowledge extraction,1,,,,,Abstract or article,1,,,
Entity resolution,1,,,,,Ab-initio taxonomy construction,1,,,
Similarity,1,,,,, Heuristic rules phrase mining,1,,,
Knowledge graph completion,1,,,,,,,,,
Dictionary based matching,1,,,,,Periodic update,1,,,
Boundary corrections,1,,,,,,0,,,
Silver standard wikipedia sentences,1,,,,,,0,,,
Hybrid corpus creation,1,,,,,,,,,
Chinese word segmentation,1,,,,,,,,,
"Sentence segmentation, part of speech, syntax tree parsing",1,,,,,,,,,
"Filtering - word window, syntactic patterns",1,,,,,,,,,
Service invocation,1,,,,,,,,,
Output integration,1,,,,,,,,,
"Filtering - overlaps, voting, deduplication",1,,,,,,,,,
Nominal Phrases (NP) association,1,,,,,,,,,
NP tagging,1,,,,,,,,,
Tuple creation,1,,,,,,,,,
Order and selection,1,,,,,,,,,
Entity selection,1,,,,,,,,,
Property selection,1,,,,,,,,,
RDF preparation,1,,,,,,,,,
Entity normalisation,1,,,,,,,,,
Property calculation,1,,,,,,,,,
Graph cleaning,1,,,,,,,,,
Related entity ranking,1,,,,,,,,,
Graph embedding,1,,,,,,,,,
Analyse formal concepts for specification groups,1,,,,,,,,,
Extract specification items --> build reference vocabulary,1,,,,,,,,,
Analyse formal concepts for specification items,1,,,,,,,,,
Concept refinement,1,,,,,,,,,
Design a knowledge model,1,,,,,,,,,
Construct a knowledge graph,1,,,,,,,,,
Data acquisition from relational databases,1,,,,,,,,,
Data acquisition from documents,1,,,,,,,,,
Data import and storage,1,,,,,,,,,
Data modelling,1,,,,,,,,,
Event annotation,1,,,,,,,,,
Event recognition,1,,,,,,,,,
Event classification,1,,,,,,,,,
Entity annotation,1,,,,,,,,,
Entity labelling,1,,,,,,,,,
Semantic role labelling,1,,,,,,,,,
Inferring implicit entity,1,,,,,,,,,
Event interlinking,1,,,,,,,,,
Evolutionary linking,1,,,,,,,,,
Across-media interlinking,1,,,,,,,,,
Road sign conventions and prototypes,1,,,,,,,,,
KG construction with crowdsourcing (thus people),1,,,,,,,,,
Identifying road sign templates for various countries,1,,,,,,,,,
Alignment of KG to domain specific KG (ML),1,,,,,,,,,
Automated reasoning,1,,,,,,,,,
Auto-transformation for individual triples,1,,,,,,,,,
Manual alignment,1,,,,,,,,,
Data features analysis,1,,,,,,,,,
Mapping of KG,1,,,,,,,,,
Scientific literature,1,,,,,,,,,
Biochemical ontology and existing databases,1,,,,,,,,,
Semantics,1,,,,,,,,,
Hierarchical spherical embedding,1,,,,,,,,,
Ontology enriched text embedding,1,,,,,,,,,
Cross-media structured semantic representation,1,,,,,,,,,
Hypothesis ranking,1,,,,,,,,,
Evidence mining,1,,,,,,,,,
Data cleaning,1,,,,,,,,,
Data annotation,1,,,,,,,,,
Data augmentation,1,,,,,,,,,
Triples generation,1,,,,,,,,,
Encoding,1,,,,,,,,,
Predicate dictionary filtering,1,,,,,,,,,
Appositions + coordinating conjunctions,1,,,,,,,,,
Argument validation,1,,,,,,,,,
Pattern extraction,1,,,,,,,,,
Temporal argument parser,1,,,,,,,,,
Argument minimisation,1,,,,,,,,,
Fact scoring,1,,,,,,,,,
Structured,1,,,,,,,,,
Semi-structured,1,,,,,,,,,
Unstructured,1,,,,,,,,,
Knowledge retrieval,1,,,,,,,,,
Visual display,1,,,,,,,,,
Knowledge base domain taxonomy,1,,,,,,,,,
Expert experience,1,,,,,,,,,
Safety codes,1,,,,,,,,,
Graph data modeling,1,,,,,,,,,
Data store,1,,,,,,,,,
Query,1,,,,,,,,,
Property extraction,1,,,,,,,,,
Object alignment,1,,,,,,,,,
KG,1,,,,,,,,,
Abstract or article,1,,,,,,,,,
Topic mining,1,,,,,,,,,
Events clustering,1,,,,,,,,,
Entity relation extraction,1,,,,,,,,,
Display - visual layout,1,,,,,,,,,
Topological structure layout,1,,,,,,,,,
Timeline layout,1,,,,,,,,,
Path tracing layout,1,,,,,,,,,
"Word-cloud, detail layout",1,,,,,,,,,
Interaction - visual display,1,,,,,,,,,
Entity IRI creation,1,,,,,,,,,
Triple generation,1,,,,,,,,,
Image processing,1,,,,,,,,,
Diversity image retrieval,1,,,,,,,,,
Clustering,1,,,,,,,,,
Relation discovery,1,,,,,,,,,
Construction of KG,1,,,,,,,,,
Semantic knowledge layer,1,,,,,,,,,
Text processing,1,,,,,,,,,
Sentence detection,1,,,,,,,,,
Lemmatisation,1,,,,,,,,,
POS tagger,1,,,,,,,,,
Tokenisation,1,,,,,,,,,
Semantic enrichment,1,,,,,,,,,
Demantic type extraction,1,,,,,,,,,
Definition extraction,1,,,,,,,,,
Synonym extractor,1,,,,,,,,,
Taxonomic relationship extraction,1,,,,,,,,,
Non-taxonomic relationship extraction,1,,,,,,,,,
Statistical knowledge layer,1,,,,,,,,,
st order features - frequency,1,,,,,,,,,
nd order features - probabilities,1,,,,,,,,,
rd order features - ratios,1,,,,,,,,,
Resource generator,1,,,,,,,,,
Property generator,1,,,,,,,,,
Predictive knowledge layer,1,,,,,,,,,
Association rules - apriori,1,,,,,,,,,
Production rules - ensemble learning,1,,,,,,,,,
Data structured processing,1,,,,,,,,,
Knowledge modeling and representation,1,,,,,,,,,
Distributed representation,1,,,,,,,,,
RDBMS,1,,,,,,,,,
Graph DBMS,1,,,,,,,,,
Distributed representation learning,1,,,,,,,,,
Entity refining,1,,,,,,,,,
Triple refining,1,,,,,,,,,
Triple selection,1,,,,,,,,,
Classifier of sentences,1,,,,,,,,,
Elements extraction,1,,,,,,,,,
Reasoning network,1,,,,,,,,,
Triple extraction,1,,,,,,,,,
Triple filtering,1,,,,,,,,,
Merging of nodes and knowledge graph population,1,,,,,,,,,
Attribute correction,1,,,,,,,,,
Knowledge reasoning,1,,,,,,,,,
Manual proofreading,1,,,,,,,,,
Data import,1,,,,,,,,,
Relation visualisation,1,,,,,,,,,
Structured data extraction,1,,,,,,,,,
Free text extraction,1,,,,,,,,,
Normalisation to RDF data,1,,,,,,,,,
Merging,1,,,,,,,,,
KG storage,1,,,,,,,,,
Adapting,1,,,,,,,,,
Query engine,1,,,,,,,,,
Error data correction,1,,,,,,,,,
Data normalisation,1,,,,,,,,,
text description quantification,1,,,,,,,,,
Quantitative conclusions standardisation,1,,,,,,,,,
Knowledge merging,1,,,,,,,,,
Ontology extraction,1,,,,,,,,,
Knowledge creation,1,,,,,,,,,
Semi-automatic editing,1,,,,,,,,,
Mapping,1,,,,,,,,,
Automatic annotation,1,,,,,,,,,
Knowledge hosting,1,,,,,,,,,
Knowledge curation,1,,,,,,,,,
Evaluation,1,,,,,,,,,
Correctness,1,,,,,,,,,
Completeness,1,,,,,,,,,
Knowledge cleaning,1,,,,,,,,,
Error detection,1,,,,,,,,,
Error correction,1,,,,,,,,,
Knowledge enrichment,1,,,,,,,,,
Knowledge source detection,1,,,,,,,,,
Knowledge source integration,1,,,,,,,,,
Duplicate detection,1,,,,,,,,,
Property-value-statement correction,1,,,,,,,,,
Knowledge deployment,1,,,,,,,,,
Ontology reuse,1,,,,,,,,,
Model merging,1,,,,,,,,,
Schema mapping,1,,,,,,,,,
Domain knowledge learning,1,,,,,,,,,
Machine learning,1,,,,,,,,,
Human experts verifying,1,,,,,,,,,
Knowledge adjusting,1,,,,,,,,,
Application feedback,1,,,,,,,,,
Knowledge evaluation,1,,,,,,,,,
Knowledge updating,1,,,,,,,,,
Data crawler,1,,,,,,,,,
Knowledge extractor,1,,,,,,,,,
Attribute finding,1,,,,,,,,,
NLP module,1,,,,,,,,,
Word segmentation,1,,,,,,,,,
POS tagging,1,,,,,,,,,
Word embedding,1,,,,,,,,,
Agricultural entity retrieval,1,,,,,,,,,
Agricultural Question answering,1,,,,,,,,,
Data source - papers,1,,,,,,,,,
Extractors,1,,,,,,,,,
Relation extraction & triple formation,1,,,,,,,,,
User interface,1,,,,,,,,,
Data parsing framework,1,,,,,,,,,
Knowledge access management,1,,,,,,,,,
Storage and query,1,,,,,,,,,
IME entity extraction,1,,,,,,,,,
Use CRF algorithm,1,,,,,,,,,
The text data included relations between concepts,1,,,,,,,,,
Statistical model and NLP,1,,,,,,,,,
To recognise significant relation for IME,1,,,,,,,,,
Knowledge acquisition,1,,,,,,,,,
Graph database,1,,,,,,,,,
"Structured, semi-structured and unstructured data",1,,,,,,,,,
Extraction,1,,,,,,,,,
Crawling,1,,,,,,,,,
Parsing,1,,,,,,,,,
Fact Extraction,1,,,,,,,,,
Integration,1,,,,,,,,,
Quality improvement,1,,,,,,,,,
Knowledge completion,1,,,,,,,,,
Knowledge correction,1,,,,,,,,,
Update,1,,,,,,,,,
Active update,1,,,,,,,,,
Periodic update,1,,,,,,,,,
